| **CloudWatch Metric Name**                    | **Datadog Metric Name**                                     | **Dynatrace Metric Name**                                 | **Dynatrace Metric Key**                                                                 | **Description**                                                                                                                                                                                                                 | **Notes**                                                                            |
| **cluster\_failed\_node\_count**              | `kubernetes_state.node.by_condition` (non-Ready nodes)      | Kubernetes node conditions                                | `builtin:kubernetes.node.conditions`                                                     | Reports the status of node conditions (e.g., Ready, Pressure conditions) for each node. Non-Ready or unhealthy nodes can be identified by this metric (value 0 for Ready), and counting those gives the number of failed nodes. | Kubernetes only (cluster-level overview via node conditions).                        |
| **node\_status\_condition\_ready**            | `kubernetes_state.node.by_condition` (Ready)                | Kubernetes node condition – Ready                         | `builtin:kubernetes.node.conditions`                                                     | Indicates if a node is *Ready* (value 1 for Ready, 0 if not Ready) as reported by the Kubernetes node condition metric.                                                                                                         | Kubernetes only.                                                                     |
| **node\_status\_condition\_memory\_pressure** | `kubernetes_state.node.by_condition` (MemoryPressure)       | Kubernetes node condition – MemoryPressure                | `builtin:kubernetes.node.conditions`                                                     | Indicates if a node is under **MemoryPressure** (1 if the MemoryPressure condition is true, 0 otherwise). This uses the same node conditions metric (with MemoryPressure status).                                               | Kubernetes only.                                                                     |
| **node\_status\_condition\_pid\_pressure**    | `kubernetes_state.node.by_condition` (PIDPressure)          | Kubernetes node condition – PIDPressure                   | `builtin:kubernetes.node.conditions`                                                     | Indicates if a node is under **PIDPressure** (running out of process IDs; 1 if true, 0 otherwise) via the node conditions metric.                                                                                               | Kubernetes only.                                                                     |
| **node\_status\_condition\_disk\_pressure**   | `kubernetes_state.node.by_condition` (DiskPressure)         | Kubernetes node condition – DiskPressure                  | `builtin:kubernetes.node.conditions`                                                     | Indicates if a node is under **DiskPressure** (disk storage low; 1 if true, 0 otherwise) via the node conditions metric.                                                                                                        | Kubernetes only.                                                                     |
| **node\_status\_condition\_unknown**          | `kubernetes_state.node.by_condition` (Unknown)              | Kubernetes node condition – Unknown                       | `builtin:kubernetes.node.conditions`                                                     | Indicates an **Unknown** status for node readiness (1 if the node’s Ready condition is Unknown/unreachable). This is reported through the same node conditions metric.                                                          | Kubernetes only.                                                                     |
| **cluster\_node\_count**                      | `kubernetes_state.node.count`                               | Kubernetes cluster node count                             | `builtin:kubernetes.nodes`                                                               | Total number of nodes in the cluster. This metric is aggregated at the cluster level (counts all active nodes).                                                                                                                 | Kubernetes only (cluster-level metric).                                              |
| **node\_status\_allocatable\_pods**           | `kubernetes_state.node.pods_allocatable`                    | Pod allocatable count (by node)                           | `builtin:kubernetes.node.pods_allocatable`                                               | Number of pods that can be scheduled on the node (the node’s allocatable pod capacity). Typically determined by node size and networking constraints.                                                                           | Kubernetes only.                                                                     |
| **node\_status\_capacity\_pods**              | `kubernetes_state.node.pods_capacity`                       | Pod allocatable count (by node)                           | `builtin:kubernetes.node.pods_allocatable`                                               | Maximum pods capacity of the node. (Kubernetes reports pod capacity as allocatable pods; Dynatrace uses the allocatable pods metric, which effectively represents the pod capacity.)                                            | Kubernetes only. *(Capacity and allocatable pod count are usually the same in K8s.)* |
| **node\_number\_of\_running\_pods**           | `kubernetes.pods.running`                                   | Pod count (by node)                                       | `builtin:kubernetes.node.pods`                                                           | Current number of pods running on the node. This reflects how many pods are scheduled to that node at present.                                                                                                                  | Kubernetes only.                                                                     |
